Nazwisko aktualne,Liczba
ŚLIWKA,2324
ANTKOWIAK,2323
KOŁACZ,2323
IWANOWSKA,2322
GROBELNA,2320
MACHOWSKA,2317
PORĘBA,2317
ROKITA,2317
MARKOWICZ,2316
FRANKIEWICZ,2314
NOSAL,2314
OLENDER,2314
KORNACKA,2313
BRYŁA,2311
CZAPIEWSKA,2308
KLONOWSKA,2307
TOPOLSKA,2307
BUDA,2306
JOŃCZYK,2301
BOROWIAK,2299
NAPIÓRKOWSKA,2295
PATER,2295
WASZAK,2291
RĄCZKA,2290
GREGORCZYK,2288
MISZCZAK,2287
DOMAGALSKA,2280
KRASUSKA,2280
MIZERA,2278
SMYK,2278
PAJOR,2274
CHYLIŃSKA,2271
PIEKARZ,2271
TRUSZKOWSKA,2264
BACZYŃSKA,2263
ZATORSKA,2259
GĄSKA,2254
RYDZEWSKA,2254
IWAN,2252
KIELAR,2251
KONDRACKA,2251
MASTALERZ,2247
GWIAZDA,2246
SZEWCZUK,2244
DUDKIEWICZ,2243
SUCHOCKA,2242
CZUBAK,2237
JAKUBCZAK,2237
OSIECKA,2236
ZALESKA,2232
RAKOCZY,2231
SITARZ,2230
KOZIŃSKA,2228
OSTASZEWSKA,2226
WIERZCHOWSKA,2226
DREWNIAK,2223
PISARSKA,2223
DWORAK,2220
TARKA,2219
ZIEMBA,2219
MOSKWA,2217
KOMAR,2212
TRZASKA,2211
WIDERA,2210
CZERWONKA,2209
DĘBICKA,2209
WOJDYŁA,2207
POPIOŁEK,2206
CHOWANIEC,2203
SAKOWSKA,2202
SZAFRANIEC,2200
MACIASZEK,2199
WOJNOWSKA,2199
MIKOŁAJEWSKA,2197
MOTYL,2197
STAROŃ,2197
PYKA,2193
MALCZEWSKA,2191
ZAŁĘSKA,2191
MATUSZCZAK,2189
SZLACHTA,2186
BADURA,2182
IWANIUK,2182
KUNICKA,2182
MILER,2182
BABIARZ,2181
BOGDANOWICZ,2174
BLOCH,2173
KARBOWSKA,2172
PLUCIŃSKA,2172
TROJAN,2171
BOROWICZ,2169
CIEŚLIŃSKA,2169
